name,level,lat,lon,matched
Musée du Débarquement Utah Beach,address,49.41608,-1.18714,"La Madeleine, Sainte-Marie-du-Mont, Cherbourg, Manche, Normandie, France métropolitaine, 50480, France"
D-Day Experience - Dead Man's Corner Museum,postcode,49.28735,-1.26589,"50500, Carentan, Carentan-les-Marais, Saint-Lô, Manche, Normandie, France métropolitaine, France"
D-Day Wings Museum,postcode,49.17348,-0.42198,"14760, Bretteville-sur-Odon, Caen, Calvados, Normandie, France métropolitaine, France"
Mémorial de Caen,address,49.19788,-0.38372,"Esplanade Général Dwight D. Eisenhower, Zone Activite Nord-Ouest, Caen, Calvados, Normandie, France métropolit"
Mémorial Pegasus,address,49.24381,-0.27117,"Avenue du Major John Howard, Le Pont de Ranville, Ranville, Lisieux, Calvados, Normandie, France métropolitain"
Overlord Museum,postcode,49.31716,-0.91523,"14710, Trévières, Bayeux, Calvados, Normandie, France métropolitaine, France"
Musée Delta,address,48.71204,2.38042,"Avenue Jean-Pierre Bénard, Centre-Ville, Athis-Mons, Palaiseau, Essonne, Île-de-France, France métropolitaine,"
Musée des Arts et Métiers,address,48.86610,2.35541,"Musée des Arts et Métiers, 60, Rue Réaumur, Quartier des Arts-et-Métiers, Paris 3e Arrondissement, Paris, Île-"
Musée de la Grande Guerre du Pays de Meaux,address,48.97014,2.90540,"Rue Lazare Ponticelli, Meaux, Seine-et-Marne, Île-de-France, France métropolitaine, 77100, France"
"Concorde F-BVFF, Paris-Charles de Gaulle",postcode,49.00664,2.51373,"95700, Roissy-en-France, Sarcelles, Val-d'Oise, Île-de-France, France métropolitaine, France"
"Noratlas Monument, ArianeGroup Les Mureaux",postcode,48.98310,1.92135,"78130, Les Mureaux, Mantes-la-Jolie, Yvelines, Île-de-France, France métropolitaine, France"
"Fouga Magister Monument, Morlaix Airport",postcode,48.55604,-3.82463,"29600, Plourin-lès-Morlaix, Morlaix, Finistère, Bretagne, France métropolitaine, France"
"Super Étendard Monument, Thales Brest",postcode,48.40015,-4.50194,"29200, Brest, Finistère, Bretagne, France métropolitaine, France"
"Musée de l'Officier, Académie Militaire de Saint-Cyr Coëtquidan",address,47.94476,-2.16012,"Cour Rivoli, Guer, Vannes, Morbihan, Bretagne, France métropolitaine, 56380, France"
Le Grenier de l'Aviation,postcode,47.22489,-1.63411,"44800, Saint-Herblain, Nantes, Loire-Atlantique, Pays de la Loire, France métropolitaine, France"
Historial de la Vendée,address,46.84741,-1.48090,"Allée Paul Bazin, Saint-Louis, Les Lucs-sur-Boulogne, La Roche-sur-Yon, Vendée, Pays de la Loire, France métro"
"Camping du Haut Village Aircraft, Saint-Michel-Chef-Chef",address,47.17085,-2.13690,"Le Haut Village, 4, Route de l'Étang, Le Haut Village, Saint-Michel-Chef-Chef, Saint-Nazaire, Loire-Atlantique"
MM Park France,address,48.66542,7.80980,"MM Park France, 4, Rue Gutenberg, Parc d'Activités de La Wantzenau, La Wantzenau, Strasbourg, Bas-Rhin, Collec"
Musée de l'Abri de Hatten,address,48.90019,7.96991,"Rue de l'Abri, Hatten, Haguenau-Wissembourg, Bas-Rhin, Collectivité européenne d'Alsace, Grand Est, France mét"
Musée des Débuts de l'Aviation Roger Sommer,address,49.66011,5.03770,"Le Pré du Roy, Douzy, Sedan, Ardennes, Grand Est, France métropolitaine, 08140, France"
Musée de l'Aéronautique Locale de Bétheny,address,49.28585,4.05858,"Place de la Mairie, Le Petit Bétheny, Bétheny, Reims, Marne, Grand Est, France métropolitaine, 51450, France"
Musée France 40 Véhicules,address,49.30929,3.68552,"Rue de la Sucrerie, Les Ponceaux, Fismes, Reims, Marne, Grand Est, France métropolitaine, 51170, France"
Musée Aéronautique d'Orange,postcode,44.14644,4.80858,"84100, Orange, Carpentras, Vaucluse, Provence-Alpes-Côte d'Azur, France métropolitaine, France"
"Ailes Anciennes de Haute-Savoie, Excenevex",postcode,46.30180,6.32065,"74140, Douvaine, Thonon-les-Bains, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, France"
"Mirage III Monument, Montélimar",postcode,44.55468,4.74740,"26200, Montélimar, Nyons, Drôme, Auvergne-Rhône-Alpes, France métropolitaine, France"
"Mirage III Monument, Orange",postcode,44.14644,4.80858,"84100, Orange, Carpentras, Vaucluse, Provence-Alpes-Côte d'Azur, France métropolitaine, France"
Le Surplus Portes-lès-Valence Zéphyr,postcode,44.83303,4.89031,"26800, Étoile-sur-Rhône, Valence, Drôme, Auvergne-Rhône-Alpes, France métropolitaine, France"
"Fouga Magister Monument, Loudes",postcode,45.07317,3.72835,"43320, Saint-Jean-de-Nay, Le Puy-en-Velay, Haute-Loire, Auvergne-Rhône-Alpes, France métropolitaine, France"
